header	source	subtype	strain	num_repeats	segment
blasthit|mixed|A/mallard/Netherlands/22/2015|2015-06-27	blasthit	mixed	A/mallard/Netherlands/22/2015	1	seg-2
blasthit|H1N1|A/duck/NY/13152_13/1994|1994--	blasthit	H1N1	A/duck/NY/13152_13/1994	1	seg-2
blasthit|H9N2|A/duck/Hong_Kong/702/1979|1979--	blasthit	H9N2	A/duck/Hong_Kong/702/1979	1	seg-2
blasthit|H3N2|A/blue_winged_teal/Wisconsin/89/1979|1979--	blasthit	H3N2	A/blue_winged_teal/Wisconsin/89/1979	1	seg-2
blasthit|H7N7|A/mallard/Sweden/1645/2002|2002-12-14	blasthit	H7N7	A/mallard/Sweden/1645/2002	1	seg-2
blasthit|H3N8|A/green_winged_teal/Wisconsin/496/1983|1983--	blasthit	H3N8	A/green_winged_teal/Wisconsin/496/1983	1	seg-2
blasthit|H9N2|A/avian/Egypt/920431/2006|2006--	blasthit	H9N2	A/avian/Egypt/920431/2006	1	seg-2
blasthit|H3N2|A/mallard/New_York/6874/1978|1978-08-01	blasthit	H3N2	A/mallard/New_York/6874/1978	1	seg-2
blasthit|H2N5|A/duck/Hokkaido/W259/2005|2005-11-11	blasthit	H2N5	A/duck/Hokkaido/W259/2005	1	seg-2
blasthit|H1N1|A/ruddy_turnstone/New_Jersey/147/1990|1990-05-26	blasthit	H1N1	A/ruddy_turnstone/New_Jersey/147/1990	1	seg-2
blasthit|H1N1|A/New_York/6473/2009|2009-11-22	blasthit	H1N1	A/New_York/6473/2009	1	seg-2
blasthit|H6N1|A/mallard/Wisconsin/16/1980|1980--	blasthit	H6N1	A/mallard/Wisconsin/16/1980	1	seg-2
blasthit|H9N2|A/wild_bird/Anhui/S93/2014|2014-12-22	blasthit	H9N2	A/wild_bird/Anhui/S93/2014	1	seg-2
blasthit|H12N9|A/mallard/Sweden/16/2002|2002-11-01	blasthit	H12N9	A/mallard/Sweden/16/2002	1	seg-2
blasthit|H5N2|A/blue_winged_teal/Wisconsin/231/1976|1976--	blasthit	H5N2	A/blue_winged_teal/Wisconsin/231/1976	1	seg-2
blasthit|H1N1|A/District_of_Columbia/INS24/2009|2009-10-15	blasthit	H1N1	A/District_of_Columbia/INS24/2009	1	seg-2
blasthit|H2N2|A/duck/Hong_Kong/319/1978|1978--	blasthit	H2N2	A/duck/Hong_Kong/319/1978	1	seg-2
blasthit|H5N2|A/duck/Hong_Kong/342/1978|1978--	blasthit	H5N2	A/duck/Hong_Kong/342/1978	1	seg-2
blasthit|H7N7|A/duck/Hokkaido/W106/2004|2004-10-24	blasthit	H7N7	A/duck/Hokkaido/W106/2004	1	seg-2
blasthit|H3N6|A/herring_gull/New_Jersey/159/1990|1990-05-26	blasthit	H3N6	A/herring_gull/New_Jersey/159/1990	1	seg-2
blasthit|H3N8|A/mallard/Wisconsin/283/1976|1976--	blasthit	H3N8	A/mallard/Wisconsin/283/1976	1	seg-2
blasthit|H3N8|A/duck/Mongolia/278/2011|2011-08-28	blasthit	H3N8	A/duck/Mongolia/278/2011	1	seg-2
blasthit|H3N8|A/duck/Mongolia/405/2011|2011-08-28	blasthit	H3N8	A/duck/Mongolia/405/2011	1	seg-2
blasthit|H3N8|A/green_winged_teal/Wisconsin/282/1978|1978--	blasthit	H3N8	A/green_winged_teal/Wisconsin/282/1978	1	seg-2
blasthit|H1N1|A/Canada_SK/RV2929/2009|2009-10-13	blasthit	H1N1	A/Canada_SK/RV2929/2009	1	seg-2
blasthit|H16N3|A/ring_billed_gull/Delaware/AI10_1144/2010|2010-05-27	blasthit	H16N3	A/ring_billed_gull/Delaware/AI10_1144/2010	1	seg-2
blasthit|H5N1|A/turkey/Ontario/84/1983|1983-01-	blasthit	H5N1	A/turkey/Ontario/84/1983	1	seg-2
blasthit|H4N8|A/blue_winged_teal/Wisconsin/330/1977|1977--	blasthit	H4N8	A/blue_winged_teal/Wisconsin/330/1977	1	seg-2
blasthit|H1N1|A/wild_bird/Wuhan/WHHN16/2014|2014-12-	blasthit	H1N1	A/wild_bird/Wuhan/WHHN16/2014	1	seg-2
blasthit|H11N1|A/black_headed_gull/Netherlands/21/2014|2014-12-26	blasthit	H11N1	A/black_headed_gull/Netherlands/21/2014	1	seg-2
blasthit|H1N1|A/San_Diego/INS42/2009|2009-11-04	blasthit	H1N1	A/San_Diego/INS42/2009	1	seg-2
blasthit|H16N3|A/ring_billed_gull/Delaware/AI10_1073/2010|2010-05-27	blasthit	H16N3	A/ring_billed_gull/Delaware/AI10_1073/2010	1	seg-2
blasthit|H7N7|A/mallard/Sweden/1690/2002|2002-12-15	blasthit	H7N7	A/mallard/Sweden/1690/2002	1	seg-2
blasthit|H3N8|A/duck/Mongolia/279/2011|2011-08-28	blasthit	H3N8	A/duck/Mongolia/279/2011	1	seg-2
blasthit|H3N6|A/mallard/Wisconsin/408/1983|1983--	blasthit	H3N6	A/mallard/Wisconsin/408/1983	1	seg-2
blasthit|H9N2|A/mallard/Sweden/4932/2004|2004-10-30	blasthit	H9N2	A/mallard/Sweden/4932/2004	1	seg-2
blasthit|H4N6|A/American_black_duck/New_Brunswick/03553/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03553/2009	1	seg-2
blasthit|H4N6|A/bewicks_swan/Netherlands/2/2007|2007-12-06	blasthit	H4N6	A/bewicks_swan/Netherlands/2/2007	1	seg-2
blasthit|H11N9|A/mallard/Wisconsin/298/1977|1977--	blasthit	H11N9	A/mallard/Wisconsin/298/1977	1	seg-2
blasthit|H7N7|A/duck/Hokkaido/W34/2004|2004-10-07	blasthit	H7N7	A/duck/Hokkaido/W34/2004	1	seg-2
blasthit|H1N1|A/Kentucky/180/2010|2010-04-01	blasthit	H1N1	A/Kentucky/180/2010	1	seg-2
blasthit|H10N7|A/mallard_duck/Netherlands/31/2013|2013-05-20	blasthit	H10N7	A/mallard_duck/Netherlands/31/2013	1	seg-2
blasthit|H4N6|A/blue_winged_teal/Minnesota/Sg_00028/2007|2007-08-02	blasthit	H4N6	A/blue_winged_teal/Minnesota/Sg_00028/2007	1	seg-2
blasthit|H4N6|A/blue_winged_teal/Texas/AI10_3844/2010|2010-09-18	blasthit	H4N6	A/blue_winged_teal/Texas/AI10_3844/2010	1	seg-2
blasthit|H6N1|A/mallard/Wisconsin/3/1980|1980--	blasthit	H6N1	A/mallard/Wisconsin/3/1980	1	seg-2
blasthit|H2N2|A/duck/Hong_Kong/273/1978|1978--	blasthit	H2N2	A/duck/Hong_Kong/273/1978	1	seg-2
blasthit|H4N6|A/blue_winged_teal/Minnesota/Sg_00039/2007|2007-08-03	blasthit	H4N6	A/blue_winged_teal/Minnesota/Sg_00039/2007	1	seg-2
blasthit|H3N8|A/mallard/Wisconsin/2083/1984|1984--	blasthit	H3N8	A/mallard/Wisconsin/2083/1984	1	seg-2
blasthit|H4N2|A/mallard/Wisconsin/365/1981|1981--	blasthit	H4N2	A/mallard/Wisconsin/365/1981	1	seg-2
blasthit|H4N6|A/blue_winged_teal/Louisiana/AI10_3640/2010|2010-09-12	blasthit	H4N6	A/blue_winged_teal/Louisiana/AI10_3640/2010	1	seg-2
blasthit|H3N6|A/laughing_gull/New_Jersey/180/1990|1990-05-26	blasthit	H3N6	A/laughing_gull/New_Jersey/180/1990	1	seg-2
blasthit|H1N1|A/California/VRDL36/2009|2009-09-24	blasthit	H1N1	A/California/VRDL36/2009	1	seg-2
blasthit|H3N6|A/ruddy_turnstone/New_Jersey/138/1990|1990-05-26	blasthit	H3N6	A/ruddy_turnstone/New_Jersey/138/1990	1	seg-2
blasthit|H1N1|A/California/VRDL53/2009|2009-07-21	blasthit	H1N1	A/California/VRDL53/2009	1	seg-3
blasthit|H3N8|A/mallard_duck/Netherlands/7/2008|2008-08-22	blasthit	H3N8	A/mallard_duck/Netherlands/7/2008	1	seg-3
blasthit|H4N8|A/mallard_duck/New_York/194/1982|1982-12-01	blasthit	H4N8	A/mallard_duck/New_York/194/1982	1	seg-3
blasthit|H11N3|A/chicken/New_Jersey/4236_18/1993|1993--	blasthit	H11N3	A/chicken/New_Jersey/4236_18/1993	1	seg-3
blasthit|H10N3|A/duck/Wisconsin/2632/1985|1985--	blasthit	H10N3	A/duck/Wisconsin/2632/1985	1	seg-3
blasthit|H1N1|A/Ft_Carson/WR1446P/2009|2009-10-15	blasthit	H1N1	A/Ft_Carson/WR1446P/2009	1	seg-3
blasthit|H10N3|A/duck/Wisconsin/2368/1985|1985--	blasthit	H10N3	A/duck/Wisconsin/2368/1985	1	seg-3
blasthit|H1N6|A/mallard/Alberta/42/1977|1977-08-02	blasthit	H1N6	A/mallard/Alberta/42/1977	1	seg-3
blasthit|H4N6|A/canvasback_duck/ALB/274/1977|1977-08-09	blasthit	H4N6	A/canvasback_duck/ALB/274/1977	1	seg-3
blasthit|H6N8|A/shorebird/Delaware_Bay/222/1993|1993-05-01	blasthit	H6N8	A/shorebird/Delaware_Bay/222/1993	1	seg-3
blasthit|H6N2|A/duck/Hubei/ZYSYG3/2015|2015-11-21	blasthit	H6N2	A/duck/Hubei/ZYSYG3/2015	1	seg-3
blasthit|H4N6|A/mallard/Ohio/178/1990|1990--	blasthit	H4N6	A/mallard/Ohio/178/1990	1	seg-3
blasthit|H4N2|A/duck/Guangxi/125D17/2012|2012-09-07	blasthit	H4N2	A/duck/Guangxi/125D17/2012	1	seg-3
blasthit|H3N8|A/mallard/Wisconsin/420/1981|1981--	blasthit	H3N8	A/mallard/Wisconsin/420/1981	1	seg-3
blasthit|H10N7|A/mallard_duck/Netherlands/6/2015|2015-03-04	blasthit	H10N7	A/mallard_duck/Netherlands/6/2015	1	seg-3
blasthit|H1N1|A/England/854/2009|2009-11-23	blasthit	H1N1	A/England/854/2009	1	seg-3
blasthit|H6N8|A/herring_gull/Delaware_Bay/77/1994|1994-05-01	blasthit	H6N8	A/herring_gull/Delaware_Bay/77/1994	1	seg-3
blasthit|H1N1|A/San_Diego/INS11/2009|2009-10-14	blasthit	H1N1	A/San_Diego/INS11/2009	1	seg-3
blasthit|H1N1|A/Wisconsin/629_D01014/2009|2009-11-08	blasthit	H1N1	A/Wisconsin/629_D01014/2009	1	seg-3
blasthit|H3N8|A/duck/Beijing/40/04|2004--	blasthit	H3N8	A/duck/Beijing/40/04	1	seg-3
blasthit|H5N2|A/mallard/New_York/189/1982|1982-12-01	blasthit	H5N2	A/mallard/New_York/189/1982	1	seg-3
blasthit|H5N2|A/mallard_duck/Netherlands/63/2006|2006-09-22	blasthit	H5N2	A/mallard_duck/Netherlands/63/2006	1	seg-3
blasthit|H1N1|A/Wisconsin/629_D00938/2009|2009-11-02	blasthit	H1N1	A/Wisconsin/629_D00938/2009	1	seg-3
blasthit|H4N6|A/mallard/Wisconsin/364/1984|1984--	blasthit	H4N6	A/mallard/Wisconsin/364/1984	1	seg-3
blasthit|H3N6|A/mallard/Alberta/35/1992|1992-08-11	blasthit	H3N6	A/mallard/Alberta/35/1992	1	seg-3
blasthit|H4N6|A/green_winged_teal/Alberta/11383/2005|2005-07-31	blasthit	H4N6	A/green_winged_teal/Alberta/11383/2005	1	seg-3
blasthit|H6N2|A/duck/Hubei/ZYSYG7/2015|2015-11-21	blasthit	H6N2	A/duck/Hubei/ZYSYG7/2015	1	seg-3
blasthit|H1N5|A/mallard_duck/New_York/6861/1978|1978-08-01	blasthit	H1N5	A/mallard_duck/New_York/6861/1978	1	seg-3
blasthit|H1N1|A/Warsaw/INS148/2009|2009-12-11	blasthit	H1N1	A/Warsaw/INS148/2009	1	seg-3
blasthit|mixed|A/shorebird/Delaware_Bay/275/1994|1994-05-23	blasthit	mixed	A/shorebird/Delaware_Bay/275/1994	1	seg-3
blasthit|H1N1|A/mallard/Alberta/88/2004|2004-07-03	blasthit	H1N1	A/mallard/Alberta/88/2004	1	seg-3
blasthit|mixed|A/ruddy_turnstone/Delaware_Bay/185/1994|1994-05-22	blasthit	mixed	A/ruddy_turnstone/Delaware_Bay/185/1994	1	seg-3
blasthit|H6N2|A/pekin_duck/Mexico/CPA_5009/2007|2007-11-04	blasthit	H6N2	A/pekin_duck/Mexico/CPA_5009/2007	1	seg-3
blasthit|H1N1|A/Thailand/CU_B938/2009|2009-08-	blasthit	H1N1	A/Thailand/CU_B938/2009	1	seg-3
blasthit|H11N2|A/chicken/New_Jersey/14172_14/1994|1994--	blasthit	H11N2	A/chicken/New_Jersey/14172_14/1994	1	seg-3
blasthit|H11N9|A/duck/Wisconsin/2550/1985|1985--	blasthit	H11N9	A/duck/Wisconsin/2550/1985	1	seg-3
blasthit|mixed|A/bald_eagle/Virginia/Sg_00154/2008|2008--	blasthit	mixed	A/bald_eagle/Virginia/Sg_00154/2008	1	seg-3
blasthit|H4N6|A/mallard/Alberta/66/2005|2005-07-27	blasthit	H4N6	A/mallard/Alberta/66/2005	1	seg-3
blasthit|H1N1|A/mallard_duck/Netherlands/46/2006|2006-09-18	blasthit	H1N1	A/mallard_duck/Netherlands/46/2006	1	seg-3
blasthit|H4N6|A/mallard/Wisconsin/1944/1983|1983--	blasthit	H4N6	A/mallard/Wisconsin/1944/1983	1	seg-3
blasthit|H1N1|A/Uganda/MUWRP_098/2009|2009-09-28	blasthit	H1N1	A/Uganda/MUWRP_098/2009	1	seg-3
blasthit|mixed|A/green_winged_teal/Ohio/196/1999|1999-10-23	blasthit	mixed	A/green_winged_teal/Ohio/196/1999	1	seg-3
blasthit|H4N2|A/mallard/Wisconsin/851/1982|1982--	blasthit	H4N2	A/mallard/Wisconsin/851/1982	1	seg-3
blasthit|H3N8|A/mallard_duck/Netherlands/6/2013|2013-10-01	blasthit	H3N8	A/mallard_duck/Netherlands/6/2013	1	seg-3
blasthit|H1N1|A/Singapore/GP4556/2009|2009-12-01	blasthit	H1N1	A/Singapore/GP4556/2009	1	seg-3
blasthit|H1N2|A/wild_waterfowl/Dongting/C2383/2012|2012-01-10	blasthit	H1N2	A/wild_waterfowl/Dongting/C2383/2012	1	seg-3
blasthit|H1N1|A/mallard_duck/Netherlands/64/2006|2006-09-22	blasthit	H1N1	A/mallard_duck/Netherlands/64/2006	1	seg-3
blasthit|H5N2|A/mallard_duck/Netherlands/43/2006|2006-09-18	blasthit	H5N2	A/mallard_duck/Netherlands/43/2006	1	seg-3
blasthit|H7N3|A/mallard_duck/Georgia/3/2012|2012-01-30	blasthit	H7N3	A/mallard_duck/Georgia/3/2012	1	seg-3
blasthit|H6N1|A/mallard/Minnesota/Sg_00932/2008|2008-09-16	blasthit	H6N1	A/mallard/Minnesota/Sg_00932/2008	1	seg-3
blasthit|H3N6|A/mallard_duck/Netherlands/6/2008|2008-08-22	blasthit	H3N6	A/mallard_duck/Netherlands/6/2008	1	seg-3
blasthit|H1N1|A/barnacle_goose/Netherlands/1/2006|2006-01-09	blasthit	H1N1	A/barnacle_goose/Netherlands/1/2006	1	seg-3
blasthit|H10N3|A/duck/Mongolia/3/2001|2001-09-03	blasthit	H10N3	A/duck/Mongolia/3/2001	1	seg-3
blasthit|H7N5|A/mallard_duck/Netherlands/8/2014|2014-10-28	blasthit	H7N5	A/mallard_duck/Netherlands/8/2014	1	seg-3
blasthit|H4N6|A/American_black_duck/New_Brunswick/03551/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03551/2009	1	seg-3
blasthit|H5N2|A/mallard_duck/Netherlands/12/2006|2006-09-16	blasthit	H5N2	A/mallard_duck/Netherlands/12/2006	1	seg-3
blasthit|H10N7|A/mallard/ALB/196/1996|1996-08-	blasthit	H10N7	A/mallard/ALB/196/1996	1	seg-3
blasthit|H4N2|A/mallard/Wisconsin/10OS3067/2010|2010-10-03	blasthit	H4N2	A/mallard/Wisconsin/10OS3067/2010	1	seg-3
blasthit|mixed|A/green_winged_teal/Minnesota/Sg_00841/2008|2008-09-03	blasthit	mixed	A/green_winged_teal/Minnesota/Sg_00841/2008	1	seg-3
blasthit|H3N8|A/mallard/Alberta/27/2007|2007-08-18	blasthit	H3N8	A/mallard/Alberta/27/2007	1	seg-3
blasthit|H4N8|A/northern_shoveler/Illinois/08OS3331/2008|2008-11-15	blasthit	H4N8	A/northern_shoveler/Illinois/08OS3331/2008	1	seg-3
blasthit|H4N3|A/duck/Mongolia/17/2011|2011-08-26	blasthit	H4N3	A/duck/Mongolia/17/2011	1	seg-3
blasthit|H6N1|A/mallard/Minnesota/Sg_00462/2008|2008-09-16	blasthit	H6N1	A/mallard/Minnesota/Sg_00462/2008	1	seg-3
blasthit|H6N2|A/avian/Israel/320/2001|2001-03-	blasthit	H6N2	A/avian/Israel/320/2001	1	seg-3
blasthit|mixed|A/mallard/Minnesota/Sg_01002/2008|2008-09-12	blasthit	mixed	A/mallard/Minnesota/Sg_01002/2008	1	seg-3
blasthit|H1N1|A/England/1111/2009|2009-10-21	blasthit	H1N1	A/England/1111/2009	1	seg-3
blasthit|H3N6|A/mallard_duck/Netherlands/2/2013|2013-09-10	blasthit	H3N6	A/mallard_duck/Netherlands/2/2013	1	seg-3
blasthit|H1N1|A/California/VRDL133/2009|2009-12-30	blasthit	H1N1	A/California/VRDL133/2009	1	seg-3
blasthit|H5N1|A/ruddy_turnstone/Iceland/2899/2013|2013-05-23	blasthit	H5N1	A/ruddy_turnstone/Iceland/2899/2013	1	seg-3
blasthit|H3N2|A/wood_duck/Wisconsin/158/1980|1980--	blasthit	H3N2	A/wood_duck/Wisconsin/158/1980	1	seg-3
blasthit|H1N1|A/New_York/6346/2009|2009-11-18	blasthit	H1N1	A/New_York/6346/2009	1	seg-3
blasthit|H6N2|A/avian/Israel/289/2001|2001-03-	blasthit	H6N2	A/avian/Israel/289/2001	1	seg-3
blasthit|H6N1|A/mallard/Minnesota/Sg_00464/2008|2008-09-16	blasthit	H6N1	A/mallard/Minnesota/Sg_00464/2008	1	seg-3
blasthit|H4N2|A/blue_winged_teal/Wisconsin/259/1982|1982--	blasthit	H4N2	A/blue_winged_teal/Wisconsin/259/1982	1	seg-3
blasthit|H4N6|A/blue_winged_teal/ALB/243/1977|1977-08-27	blasthit	H4N6	A/blue_winged_teal/ALB/243/1977	1	seg-3
blasthit|H3N1|A/mallard/Alberta/192/2004|2004-08-13	blasthit	H3N1	A/mallard/Alberta/192/2004	1	seg-3
blasthit|H10N3|A/mallard/Wisconsin/2364/1984|1984--	blasthit	H10N3	A/mallard/Wisconsin/2364/1984	1	seg-3
blasthit|H1N1|A/swine/QLD/09_02865_07/2009|2009-08-24	blasthit	H1N1	A/swine/QLD/09_02865_07/2009	1	seg-3
blasthit|H7N7|A/mallard_duck/Netherlands/11/2013|2013-12-09	blasthit	H7N7	A/mallard_duck/Netherlands/11/2013	1	seg-3
blasthit|H10N3|A/duck/Wisconsin/2385/1985|1985--	blasthit	H10N3	A/duck/Wisconsin/2385/1985	1	seg-3
blasthit|H1N1|A/Singapore/ON2313/2009|2009-11-17	blasthit	H1N1	A/Singapore/ON2313/2009	1	seg-3
blasthit|H3N2|A/shorebird/Delaware_Bay/3/1994|1994-05-22	blasthit	H3N2	A/shorebird/Delaware_Bay/3/1994	1	seg-3
blasthit|H4N6|A/mallard/Wisconsin/607/1977|1977--	blasthit	H4N6	A/mallard/Wisconsin/607/1977	1	seg-3
blasthit|H4N8|A/duck/South_Africa/1233A/2004|2004--	blasthit	H4N8	A/duck/South_Africa/1233A/2004	1	seg-3
blasthit|H7N3|A/mallard/Wisconsin/438/1979|1979--	blasthit	H7N3	A/mallard/Wisconsin/438/1979	1	seg-5
blasthit|H4N2|A/wood_duck/Wisconsin/147/1976|1976--	blasthit	H4N2	A/wood_duck/Wisconsin/147/1976	1	seg-5
blasthit|H1N1|A/Wisconsin/629_D02090/2009|2009-10-09	blasthit	H1N1	A/Wisconsin/629_D02090/2009	1	seg-5
blasthit|H4N2|A/blue_winged_teal/Wisconsin/63/1978|1978--	blasthit	H4N2	A/blue_winged_teal/Wisconsin/63/1978	1	seg-5
blasthit|H6N1|A/mallard_duck/Netherlands/24/2009|2009-12-01	blasthit	H6N1	A/mallard_duck/Netherlands/24/2009	1	seg-5
blasthit|H3N2|A/blue_winged_teal/Wisconsin/3060/2009|2009-10-17	blasthit	H3N2	A/blue_winged_teal/Wisconsin/3060/2009	1	seg-5
blasthit|H3N2|A/mallard/Wisconsin/82/1976|1976--	blasthit	H3N2	A/mallard/Wisconsin/82/1976	1	seg-5
blasthit|H1N1|A/mallard/Wisconsin/3165/2009|2009-10-31	blasthit	H1N1	A/mallard/Wisconsin/3165/2009	1	seg-5
blasthit|H3N2|A/pintail/Wisconsin/122/1978|1978--	blasthit	H3N2	A/pintail/Wisconsin/122/1978	1	seg-5
blasthit|H6N8|A/widgeon/Wisconsin/616/1983|1983--	blasthit	H6N8	A/widgeon/Wisconsin/616/1983	1	seg-5
blasthit|H3N8|A/Mallard/Netherlands/37/2015|2015-08-29	blasthit	H3N8	A/Mallard/Netherlands/37/2015	1	seg-5
blasthit|H3N8|A/duck/Alaska/429/1991|1991--	blasthit	H3N8	A/duck/Alaska/429/1991	1	seg-5
blasthit|H6N8|A/pintail/Wisconsin/627/1983|1983--	blasthit	H6N8	A/pintail/Wisconsin/627/1983	1	seg-5
blasthit|H6N2|A/greater_white_fronted_goose/Netherlands/3/2011|2011-01-11	blasthit	H6N2	A/greater_white_fronted_goose/Netherlands/3/2011	1	seg-5
blasthit|H3N2|A/blue_winged_teal/Wisconsin/634/1983|1983--	blasthit	H3N2	A/blue_winged_teal/Wisconsin/634/1983	1	seg-5
blasthit|H3N2|A/blue_winged_teal/Wisconsin/97/1978|1978--	blasthit	H3N2	A/blue_winged_teal/Wisconsin/97/1978	1	seg-5
blasthit|H1N1|A/Texas/JMS412/2010|2010-02-01	blasthit	H1N1	A/Texas/JMS412/2010	1	seg-5
blasthit|H3N8|A/mallard/Wisconsin/168/1979|1979--	blasthit	H3N8	A/mallard/Wisconsin/168/1979	1	seg-5
blasthit|H1N1|A/Wisconsin/629_D00936/2009|2009-11-15	blasthit	H1N1	A/Wisconsin/629_D00936/2009	1	seg-5
blasthit|H9N2|A/mallard/ALB/17/1991|1991-08-09	blasthit	H9N2	A/mallard/ALB/17/1991	1	seg-5
blasthit|H9N2|A/mallard/Alberta/17/1991|1991--	blasthit	H9N2	A/mallard/Alberta/17/1991	1	seg-5
blasthit|H3N8|A/mallard/Alberta/220/1990|1990-08-28	blasthit	H3N8	A/mallard/Alberta/220/1990	1	seg-5
blasthit|mixed|A/blue_winged_teal/Texas/Sg_00208/2007|2007-09-16	blasthit	mixed	A/blue_winged_teal/Texas/Sg_00208/2007	1	seg-5
blasthit|H5N1|A/chicken/France/150169a/2015|2015-11-19	blasthit	H5N1	A/chicken/France/150169a/2015	1	seg-5
blasthit|H6N2|A/duck/Minnesota/7/1975|1975--	blasthit	H6N2	A/duck/Minnesota/7/1975	1	seg-5
blasthit|H5N2|A/duck/Ohio/470655/2007|2007--	blasthit	H5N2	A/duck/Ohio/470655/2007	1	seg-5
blasthit|H11N2|A/mallard/ALB/124/1991|1991-08-26	blasthit	H11N2	A/mallard/ALB/124/1991	1	seg-5
blasthit|H6N2|A/green_winged_teal/Alabama/446/1975|1975--	blasthit	H6N2	A/green_winged_teal/Alabama/446/1975	1	seg-5
blasthit|H7N7|A/gadwall/Arizona/A00663934/2009|2009-01-03	blasthit	H7N7	A/gadwall/Arizona/A00663934/2009	1	seg-5
blasthit|H6N3|A/chicken/New_York/28263/1989|1989-05-02	blasthit	H6N3	A/chicken/New_York/28263/1989	1	seg-5
blasthit|H6N2|A/duck/Minnesota/51/1975|1975--	blasthit	H6N2	A/duck/Minnesota/51/1975	1	seg-5
blasthit|H3N6|A/barnacle_goose/Netherlands/2/2014|2014-12-15	blasthit	H3N6	A/barnacle_goose/Netherlands/2/2014	1	seg-5
blasthit|H4N6|A/American_black_duck/New_Brunswick/03559/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03559/2009	1	seg-5
blasthit|H1N1|A/San_Diego/INS217/2009|2009-11-12	blasthit	H1N1	A/San_Diego/INS217/2009	1	seg-5
blasthit|H15N5|A/mallard_duck/Sweden/139899/2012|2012-12-05	blasthit	H15N5	A/mallard_duck/Sweden/139899/2012	1	seg-5
blasthit|H7N3|A/mallard/Wisconsin/A00465618/2008|2008-09-05	blasthit	H7N3	A/mallard/Wisconsin/A00465618/2008	1	seg-5
blasthit|H11N3|A/mallard/Missouri/MO130/2005|2005--	blasthit	H11N3	A/mallard/Missouri/MO130/2005	1	seg-5
blasthit|H7N3|A/mallard/Indiana/A00142205/2008|2008-11-26	blasthit	H7N3	A/mallard/Indiana/A00142205/2008	1	seg-5
blasthit|H1N1|A/Wisconsin/629_D00672/2009|2009-12-08	blasthit	H1N1	A/Wisconsin/629_D00672/2009	1	seg-5
blasthit|H11N9|A/mallard/Wisconsin/1083/1982|1982--	blasthit	H11N9	A/mallard/Wisconsin/1083/1982	1	seg-5
blasthit|H6N2|A/Eurasian_wigeon/Netherlands/6/2005|2005-11-25	blasthit	H6N2	A/Eurasian_wigeon/Netherlands/6/2005	1	seg-5
blasthit|H1N1|A/Wisconsin/629_D02133/2009|2009-09-09	blasthit	H1N1	A/Wisconsin/629_D02133/2009	1	seg-5
blasthit|mixed|A/blue_winged_teal/Wisconsin/2/1974|1974--	blasthit	mixed	A/blue_winged_teal/Wisconsin/2/1974	1	seg-5
blasthit|H15N5|A/mallard_duck/Sweden/139579/2012|2012-11-28	blasthit	H15N5	A/mallard_duck/Sweden/139579/2012	1	seg-5
blasthit|H1N1|A/swine/Italy/290271/2009|2009-11-27	blasthit	H1N1	A/swine/Italy/290271/2009	1	seg-5
blasthit|H4N2|A/mallard/Wisconsin/903/1982|1982--	blasthit	H4N2	A/mallard/Wisconsin/903/1982	1	seg-5
blasthit|H4N2|A/widgeon/Wisconsin/230/1976|1976--	blasthit	H4N2	A/widgeon/Wisconsin/230/1976	1	seg-5
blasthit|H11N9|A/mallard/Wisconsin/435/1981|1981--	blasthit	H11N9	A/mallard/Wisconsin/435/1981	1	seg-5
blasthit|H1N1|A/Tennessee/F1076/2010|2010-03-16	blasthit	H1N1	A/Tennessee/F1076/2010	1	seg-5
blasthit|H1N1|A/Wisconsin/629_D01528/2009|2009-11-29	blasthit	H1N1	A/Wisconsin/629_D01528/2009	1	seg-5
blasthit|H6N2|A/greater_white_fronted_goose/Netherlands/9/2009|2009-12-30	blasthit	H6N2	A/greater_white_fronted_goose/Netherlands/9/2009	1	seg-5
blasthit|H6N2|A/green_winged_teal/Wisconsin/367/1975|1975--	blasthit	H6N2	A/green_winged_teal/Wisconsin/367/1975	1	seg-5
blasthit|H4N2|A/mallard/Wisconsin/920/1982|1982--	blasthit	H4N2	A/mallard/Wisconsin/920/1982	1	seg-5
blasthit|H6N5|A/mallard_duck/Netherlands/59/2015|2015-09-05	blasthit	H6N5	A/mallard_duck/Netherlands/59/2015	1	seg-5
blasthit|H4N6|A/mallard_duck/Netherlands/49/2010|2010-11-29	blasthit	H4N6	A/mallard_duck/Netherlands/49/2010	1	seg-5
blasthit|H3N6|A/blue_winged_teal/Wisconsin/123/1978|1978--	blasthit	H3N6	A/blue_winged_teal/Wisconsin/123/1978	1	seg-5
blasthit|H5N2|A/mallard/Wisconsin/984/1982|1982--	blasthit	H5N2	A/mallard/Wisconsin/984/1982	1	seg-5
blasthit|H15N5|A/mallard_duck/Sweden/139647/2012|2012-11-30	blasthit	H15N5	A/mallard_duck/Sweden/139647/2012	1	seg-5
blasthit|H5N2|A/turkey/MN/3689_1551/1982|1982--	blasthit	H5N2	A/turkey/MN/3689_1551/1982	1	seg-5
blasthit|H1N1|A/Wisconsin/629_D00401/2009|2009-12-08	blasthit	H1N1	A/Wisconsin/629_D00401/2009	1	seg-5
