header	source	subtype	strain	num_repeats	segment
blasthit|H3N8|A/Eurasian_teal/Netherlands/1/2011|2011-10-15	blasthit	H3N8	A/Eurasian_teal/Netherlands/1/2011	4	seg-2
blasthit|H11N9|A/mallard_duck/Netherlands/23/2012|2012-09-27	blasthit	H11N9	A/mallard_duck/Netherlands/23/2012	4	seg-2
blasthit|H10N7|A/mallard_duck/Netherlands/1/2014|2014-02-17	blasthit	H10N7	A/mallard_duck/Netherlands/1/2014	4	seg-2
blasthit|H6N8|A/mallard_duck/Netherlands/15/2011|2011-09-14	blasthit	H6N8	A/mallard_duck/Netherlands/15/2011	4	seg-2
blasthit|H6N8|A/greater_white_fronted_goose/Netherlands/6/2011|2011-12-14	blasthit	H6N8	A/greater_white_fronted_goose/Netherlands/6/2011	4	seg-2
blasthit|H6N8|A/mallard_duck/Netherlands/20/2011|2011-09-24	blasthit	H6N8	A/mallard_duck/Netherlands/20/2011	4	seg-2
blasthit|H6N8|A/mallard_duck/Netherlands/20/2011|2011-09-24	blasthit	H6N8	A/mallard_duck/Netherlands/20/2011	4	seg-3
blasthit|H3N8|A/Eurasian_teal/Netherlands/1/2011|2011-10-15	blasthit	H3N8	A/Eurasian_teal/Netherlands/1/2011	4	seg-3
blasthit|H10N7|A/mallard_duck/Netherlands/1/2014|2014-02-17	blasthit	H10N7	A/mallard_duck/Netherlands/1/2014	4	seg-3
blasthit|H11N9|A/mallard_duck/Netherlands/23/2012|2012-09-27	blasthit	H11N9	A/mallard_duck/Netherlands/23/2012	4	seg-3
blasthit|H6N8|A/greater_white_fronted_goose/Netherlands/6/2011|2011-12-14	blasthit	H6N8	A/greater_white_fronted_goose/Netherlands/6/2011	4	seg-3
blasthit|H6N8|A/white_fronted_goose/Netherlands/5/2011|2011-12-14	blasthit	H6N8	A/white_fronted_goose/Netherlands/5/2011	4	seg-3
blasthit|H6N8|A/mallard_duck/Netherlands/15/2011|2011-09-14	blasthit	H6N8	A/mallard_duck/Netherlands/15/2011	4	seg-3
blasthit|H11N9|A/mallard_duck/Netherlands/23/2012|2012-09-27	blasthit	H11N9	A/mallard_duck/Netherlands/23/2012	4	seg-5
blasthit|H6N8|A/mallard_duck/Netherlands/20/2011|2011-09-24	blasthit	H6N8	A/mallard_duck/Netherlands/20/2011	4	seg-5
blasthit|H6N8|A/mallard_duck/Netherlands/15/2011|2011-09-14	blasthit	H6N8	A/mallard_duck/Netherlands/15/2011	4	seg-5
blasthit|H6N8|A/greater_white_fronted_goose/Netherlands/6/2011|2011-12-14	blasthit	H6N8	A/greater_white_fronted_goose/Netherlands/6/2011	4	seg-5
blasthit|H6N8|A/white_fronted_goose/Netherlands/5/2011|2011-12-14	blasthit	H6N8	A/white_fronted_goose/Netherlands/5/2011	4	seg-5
blasthit|H10N7|A/mallard_duck/Netherlands/1/2014|2014-02-17	blasthit	H10N7	A/mallard_duck/Netherlands/1/2014	4	seg-7
blasthit|H3N8|A/Eurasian_teal/Netherlands/1/2011|2011-10-15	blasthit	H3N8	A/Eurasian_teal/Netherlands/1/2011	4	seg-8
blasthit|H4N2|A/mallard_duck/Netherlands/18/2012|2012-08-21	blasthit	H4N2	A/mallard_duck/Netherlands/18/2012	3	seg-1
blasthit|H1N1|A/Texas/JMS411/2010|2010-01-25	blasthit	H1N1	A/Texas/JMS411/2010	3	seg-1
blasthit|H1N1|A/California/VRDL58/2009|2009-07-21	blasthit	H1N1	A/California/VRDL58/2009	3	seg-1
blasthit|H1N1|A/San_Diego/INS202/2009|2009-11-04	blasthit	H1N1	A/San_Diego/INS202/2009	3	seg-1
blasthit|H4N6|A/Mallard/Netherlands/33/2015|2015-08-16	blasthit	H4N6	A/Mallard/Netherlands/33/2015	3	seg-1
blasthit|H3N2|A/mallard_duck/Netherlands/16/2012|2012-08-17	blasthit	H3N2	A/mallard_duck/Netherlands/16/2012	3	seg-1
